x,f(x),Q(x)
-2,-0.116278,0.0530425
-1.91837,-0.171629,-0.291203
-1.83673,-0.183516,-0.35359
-1.7551,-0.155957,-0.259256
-1.67347,-0.097669,-0.0985562
-1.59184,-0.020997,0.0665955
-1.5102,0.0595575,0.197119
-1.42857,0.129038,0.271858
-1.34694,0.173786,0.283318
-1.26531,0.18305,0.233994
-1.18367,0.150287,0.133257
-1.10204,0.0739958,-0.0052564
-1.02041,-0.0419888,-0.165791
-0.938776,-0.188789,-0.332193
-0.857143,-0.353334,-0.489257
-0.77551,-0.519673,-0.623717
-0.693878,-0.670627,-0.724945
-0.612245,-0.789592,-0.785372
-0.530612,-0.862306,-0.800679
-0.44898,-0.878412,-0.769779
-0.367347,-0.832611,-0.694643
-0.285714,-0.725329,-0.579971
-0.204082,-0.562779,-0.432771
-0.122449,-0.356452,-0.261837
-0.0408163,-0.122041,-0.0771892
0.0408163,0.122041,0.110527
0.122449,0.356452,0.290648
0.204082,0.562779,0.453075
0.285714,0.725329,0.588835
0.367347,0.832611,0.690574
0.44898,0.878412,0.752979
0.530612,0.862306,0.773119
0.612245,0.789592,0.750665
0.693878,0.670627,0.688002
0.77551,0.519673,0.590209
0.857143,0.353334,0.464886
0.938776,0.188789,0.321841
1.02041,0.0419888,0.172605
1.10204,-0.0739958,0.0297913
1.18367,-0.150287,-0.0937342
1.26531,-0.18305,-0.185846
1.34694,-0.173786,-0.236339
1.42857,-0.129038,-0.23829
1.5102,-0.0595575,-0.189601
1.59184,0.020997,-0.0947179
1.67347,0.097669,0.0334673
1.7551,0.155957,0.171544
1.83673,0.183516,0.283346
1.91837,0.171629,0.317545
2,0.116278,0.205105
