x,f(x),z(x)
-100,0.862108,1.15753
-96.9388,0.878685,0.942829
-93.8776,0.835294,0.727058
-90.8163,0.732185,0.517268
-87.7551,0.57506,0.319032
-84.6939,0.374612,0.136605
-81.6327,0.145574,-0.0269285
-78.5714,-0.0946473,-0.169509
-75.5102,-0.327593,-0.28997
-72.449,-0.535489,-0.387912
-69.3878,-0.702908,-0.463581
-66.3265,-0.818198,-0.517758
-63.2653,-0.874536,-0.551656
-60.2041,-0.870498,-0.566822
-57.1429,-0.810092,-0.565049
-54.0816,-0.702254,-0.548294
-51.0204,-0.559866,-0.518603
-47.9592,-0.398382,-0.47805
-44.898,-0.234229,-0.42867
-41.8367,-0.0831223,-0.372416
-38.7755,0.0415144,-0.311108
-35.7143,0.129871,-0.246404
-32.6531,0.17668,-0.179766
-29.5918,0.18166,-0.112444
-26.5306,0.149426,-0.0454564
-23.4694,0.0888848,0.0204095
-20.4082,0.0121805,0.0845998
-17.3469,-0.0667063,0.146783
-14.2857,-0.133547,0.206833
-11.2245,-0.175481,0.264806
-8.16327,-0.18249,0.320907
-5.10204,-0.148571,0.375452
-2.04082,-0.0724851,0.428818
1.02041,0.0419888,0.481392
4.08163,0.186342,0.533505
7.14286,0.348122,0.585366
10.2041,0.512151,0.636982
13.2653,0.662041,0.688074
16.3265,0.781868,0.737985
19.3878,0.85781,0.785578
22.449,0.87961,0.829131
25.5102,0.841689,0.866221
28.5714,0.743801,0.893602
31.6327,0.591169,0.907071
34.6939,0.394069,0.901337
37.7551,0.16692,0.869868
40.8163,-0.073047,0.804745
43.8776,-0.307398,0.696498
46.9388,-0.518227,0.533936
50,-0.689831,0.303977
